id_vendedor;nome_vendedor;categorias_atendidas;qtde_distinta_produtos;media_preco;qtde_disponivel_estoque;total_valor_estoque_usd;reputacao;status_vendedor;total_transacoes;vendas_estimativa
25626458;FIORELLA_XIMENA;1;1;36,0;1;36,0;;;0;0,0
25692166;ELECTRICAVENIDA;1;3;23,38;1500;35068,32;5_green;platinum;17615;411838,69999999995
25721493;RICMINO;1;1;54,0;1;54,0;;;0;0,0
25806038;SELLER ALL;1;1;25,19;1;25,19;5_green;platinum;23526;592619,9400000001
25807236;TROTAMUNDO1000;1;1;0,0;1;0,0;;;0;0,0
25909467;M BATT;1;1;96,0;1;96,0;;;0;0,0
25940686;LEAYULI;1;1;0,0;1;0,0;;;0;0,0
26002709;TIENDASANANATURAL;2;1;22,2;1000;22200,0;5_green;platinum;23604;524008,8
26142695;HIERROS TORRENT;2;10;98,152;558;8259,55;5_green;platinum;77513;7608055,976
26168418;CYC VENTAS;1;1;999,24;1;999,24;5_green;gold;1274;1273031,76
26180802;EBS78;2;4;24,925;202;6276,5;5_green;platinum;6796;169390,30000000002
26339856;CRIKIAN.69;1;2;462,0;2;924,0;;;0;0,0
26364438;CAJACO30;1;2;82,3;2;164,6;5_green;gold;1099;90447,7
26448669;EKKON EXPERTOS;4;15;174,390625;1207;252119,63999999998;5_green;platinum;78133;13625662,703125
26588531;LIDERARTE LIBRERIA;2;28;9,427142857142856;8351;62347,45;5_green;platinum;341503;3219397,567142857
26891951;ALE1416;1;2;19,075;400;7629,6;5_green;platinum;20884;398362,3
27103683;AISLACENTER BELLAVISTA;2;3;39,20333333333334;252;9243,259999999998;5_green;platinum;20639;809117,5966666668
27151432;HELITEC;1;3;6,236666666666667;351;2048,3100000000004;5_green;platinum;10327;64406,05666666667
27178439;MBF20102010;1;1;72,0;1;72,0;;;0;0,0
27181929;BURDAH;1;11;37,944545454545455;458;4321,94;5_green;platinum;28544;1083089,1054545455
27249542;MONTASONIDO;1;6;0,0;6;0,0;5_green;platinum;3091;0,0
